Run,Fitness,Blocks
29,0.005091153,16448 32831 32831 32831 0 16448 32831 32831 32831 0 16448 32831 32831 32831 0 16448 32831 32831 32831 0 64 16448 32831 32831 0
30,2.68418169,32831 16448 16448 16448 16448 32831 16448 16448 16448 16448 32831 32831 16448 16448 16448 0 0 0 0 0 0 0 0 0 0
30,2.54396677,0 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448 0 16448 16448 16448 16448
30,2.092703819,0 16448 16448 16448 16448 0 0 16448 16448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30,1.972156286,0 0 16448 16448 16448 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
30,0.927785277,32832 16448 16448 16448 16448 0 16448 16448 16448 16448 0 0 16448 0 0 0 0 0 0 0 0 0 0 0 0
30,0.142182112,32831 32831 32831 32831 32831 32831 32831 16448 32831 32831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
31,2.661839008,16448 16448 16448 16448 16448 64 16448 16448 16448 16448 64 16448 16448 16448 16448 64 64 16448 16448 16448 64 64 64 64 64
31,2.088314295,16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 16448 32831 16448 16448 16448 16448
31,1.96027863,64 64 64 64 16448 32831 64 64 64 16448 32831 32831 32832 32832 32832 32831 32831 32832 32832 32832 32831 32831 32831 32831 32832
